title（注意，所有单元格都不要包含换行符）,variant,price,imgUrl,link,l2,l3,inviteId,modelid,final_1688_link,price judge,上传日期,itemid,最大价格,同款要求,空置，该列请勿删除，否则会导致数据错乱,l4
9月化妆品热销常规品- （不可旋转）日本Canmake持久防水眼线液,11 nâu xám,12.00 ,https://cf.shopee.vn/file/vn-11134207-7ras8-m4lbgnpxgmhb50,http://shopee.vn/product/95729631/24638535869,Makeup,眼部彩妆,IVCN2026082411101,'195696858722,https://detail.1688.com/offer/1044486911672.html?spm=a26352.b28411319/2508.0.0,1688三档价,2026/8/24,'24638535869,12.00 ,100%同款,,眼线
9月化妆品热销常规品- 【买一送一】MAANGE眉胶霜 - 专业防水持久眉妆，附赠眉刷 MG-E05,B101+Two eyebrow brushes,3.54 ,https://cf.shopee.ph/file/sg-11134201-8259l-mg7mkurha2h7f6,http://shopee.ph/product/1478052749/24647685878,Makeup,眼部彩妆,IVCN2026082411103,'375008019900,https://detail.1688.com/offer/1039352905903.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.30124514.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982 https://detail.1688.com/offer/912339041404.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.30124514.offerlist.i6&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'24647685878,3.54 ,相似款（LFF）,,眉笔、眉粉
9月化妆品热销品牌品- TONYMOLY 完美背部凝胶眼线笔 4g 带刷头 - 持久显色,Màu nâu (Thuần chay),3.70 ,https://cf.shopee.vn/file/sg-11134207-824j9-mq1n79a4vz7x65,http://shopee.vn/product/1186900583/24665417494,Makeup,眼部彩妆,IVCN2026082411105,'366165329974,https://detail.1688.com/offer/1015709357269.html?spm=a26352.b28411319/2508.0.0,1688三档价,2026/8/24,'24665417494,3.70 ,100%同款,,眼线
9月化妆品热销品牌品- 【TFIT官方】【买一送一】偶像遮瑕液，持久不卡粉，自然妆效，遮盖痘印，淡化色斑，持久不卡粉，自然妆感 6.5g *2,P03 Tone Up Beige,1.80 ,https://cf.shopee.vn/file/sg-11134207-7rd4o-lw4gyd0t7nuu0b,http://shopee.vn/product/1224696340/24672402261,Makeup,面部彩妆,IVCN2026082411107,'240583389943,https://detail.1688.com/offer/1018061390320.html?spm=a26352.b28411319/2508.0.0,1688三档价,2026/8/24,'24672402261,1.80 ,100%同款,,遮瑕
9月化妆品热销品牌品- 【TFIT官方】【买一送一】偶像遮瑕液，持久不卡粉，自然妆效，遮盖痘印，淡化色斑，持久不卡粉，自然妆感 6.5g *2,Y01 Light Beige,1.80 ,https://cf.shopee.vn/file/sg-11134207-7rd4d-lw4gyd0t21l223,http://shopee.vn/product/1224696340/24672402261,Makeup,面部彩妆,IVCN2026082411107,'240583389939,https://detail.1688.com/offer/1018061390320.html?spm=a26352.b28411319/2508.0.0,1688三档价,2026/8/24,'24672402261,1.80 ,100%同款,,遮瑕
9月化妆品热销常规品- （有货）Flower Knows Butterfly Cloud Collar Blush 🦋,#3,22.36 ,https://cf.shopee.vn/file/vn-11134207-7ras8-m0oix0ydumel33,http://shopee.vn/product/1284653219/24686548480,Makeup,面部彩妆,IVCN2026082411110,'185424300775,https://detail.1688.com/offer/1004273501078.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'24686548480,22.36 ,100%同款,,腮红
9月化妆品热销品牌品- MAC Mini M·A·Cximal 丝滑哑光唇膏,Warm Teddy,25.65 ,https://cf.shopee.sg/file/sg-11134301-7reo5-m8oi3v2v27xeb3,http://shopee.sg/product/1310809414/24691041113,Makeup,唇部彩妆,IVCN2026082411112,'185763503882,https://detail.1688.com/offer/1026118999531.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23cf.shopee.sg&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'24691041113,25.65 ,100%同款,,口红
9月化妆品热销品牌品- 3CE Glazy Lip Glow 唇彩具有保湿、柔化唇部肌肤的功效，并提供真实色彩，不粘腻，呈现自然妆效。,#33 COOL SWEETIE,28.45 ,https://cf.shopee.vn/file/sg-11134201-8261b-mkm6g50o28lc7b,http://shopee.vn/product/1362679168/24695210764,Makeup,唇部彩妆,IVCN2026082411114,'275070205415,https://detail.1688.com/offer/962180272276.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'24695210764,28.45 ,100%同款,,唇蜜
9月化妆品热销品牌品- 3CE Glazy Lip Glow 唇彩具有保湿、柔化唇部肌肤的功效，并提供真实色彩，不粘腻，呈现自然妆效。,#35 PINK TUBE,29.96 ,https://cf.shopee.vn/file/sg-11134201-8260m-mkm6g5qzwc1y98,http://shopee.vn/product/1362679168/24695210764,Makeup,唇部彩妆,IVCN2026082411114,'275070205417,https://detail.1688.com/offer/962180272276.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'24695210764,29.96 ,100%同款,,唇蜜
9月化妆品热销品牌品- 3CE Glazy Lip Glow 唇彩具有保湿、柔化唇部肌肤的功效，并提供真实色彩，不粘腻，呈现自然妆效。,#38 SALTY SWEET,28.22 ,https://cf.shopee.vn/file/sg-11134201-82600-mkm6g6qaroqqae,http://shopee.vn/product/1362679168/24695210764,Makeup,唇部彩妆,IVCN2026082411114,'275070205420,https://detail.1688.com/offer/962180272276.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'24695210764,28.22 ,100%同款,,唇蜜
9月化妆品热销品牌品- 3CE Glazy Lip Glow 唇彩具有保湿、柔化唇部肌肤的功效，并提供真实色彩，不粘腻，呈现自然妆效。,#32 PEACHY FILLI,30.16 ,https://cf.shopee.vn/file/sg-11134201-82634-mkm6g4mdyfib0d,http://shopee.vn/product/1362679168/24695210764,Makeup,唇部彩妆,IVCN2026082411114,'275070205414,https://detail.1688.com/offer/962180272276.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'24695210764,30.16 ,100%同款,,唇蜜
9月化妆品热销品牌品- JM Solution 洁肤水 500ml / 850ml（JM Solution 积雪草/神经酰胺/S.O.S 林格氏液）- Dr. Thêm,SOS Ringer - 850ml,6.60 ,https://cf.shopee.vn/file/vn-11134207-820l4-mdye5ak4nmypee,http://shopee.vn/product/18363975/24719200557,Makeup,卸妆用品,IVCN2026082411119,'245506606371,https://detail.1688.com/offer/916697203539.html?spm=a26352.b28411319.offerlist.17.47311e62K7Dgff,1688三档价,2026/8/24,'24719200557,6.60 ,100%同款,,卸妆用品
9月化妆品热销品牌品- [Rom&nd] [奶油裸色] Romand 炫彩唇釉 4g 唇彩,#04 Grapy Way,4.20 ,https://cf.shopee.vn/file/vn-11134201-7ra0g-m8ogym4w22yq25,http://shopee.vn/product/590427230/24719994102,Makeup,唇部彩妆,IVCN2026082411121,'255510819943,https://detail.1688.com/offer/776565969134.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价,2026/8/24,'24719994102,4.20 ,100%同款,,唇蜜
9月化妆品热销品牌品- [Rom&nd] [奶油裸色] Romand 炫彩唇釉 4g 唇彩,#02 Nutty Vague,3.80 ,https://cf.shopee.vn/file/vn-11134201-7ra0g-m8ogylu2hvfybe,http://shopee.vn/product/590427230/24719994102,Makeup,唇部彩妆,IVCN2026082411121,'255510819941,https://detail.1688.com/offer/982457478523.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'24719994102,3.80 ,100%同款,,唇蜜
9月化妆品热销品牌品- [Rom&nd] [奶油裸色] Romand 炫彩唇釉 4g 唇彩,#01 Peony Ballet,17.36 ,https://cf.shopee.vn/file/vn-11134201-7ra0g-m8fvmfvk1n5u1d,http://shopee.vn/product/590427230/24719994102,Makeup,唇部彩妆,IVCN2026082411121,'255510819940,https://detail.1688.com/offer/792970965806.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价,2026/8/24,'24719994102,17.36 ,100%同款,,唇蜜
9月化妆品热销品牌品- [Rom&nd] [奶油裸色] Romand 炫彩唇釉 4g 唇彩,#06 Deepen Moor,13.80 ,https://cf.shopee.vn/file/vn-11134201-7ra0g-m8w4sd7wga5q55,http://shopee.vn/product/590427230/24719994102,Makeup,唇部彩妆,IVCN2026082411121,'255510819945,https://detail.1688.com/offer/792970965806.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价,2026/8/24,'24719994102,13.80 ,100%同款,,唇蜜
9月化妆品热销常规品- SACE LADY 纹身唇釉哑光柔滑持久不粘腻防水颜料套装,K08+K14👍,12.27 ,https://cf.shopee.ph/file/cn-11134207-7ras8-mbqb0kejrwwpc1,http://shopee.ph/product/111361174/24727528365,Makeup,唇部彩妆,IVCN2026082411126,'243591225807,https://detail.1688.com/offer/994079719404.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.30124514.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'24727528365,12.27 ,100%同款（LFF）,,唇釉
9月化妆品热销常规品- SACE LADY 纹身唇釉哑光柔滑持久不粘腻防水颜料套装,K10+K12,3.42 ,https://cf.shopee.ph/file/cn-11134207-7ras8-mbqb0w6ijhp538,http://shopee.ph/product/111361174/24727528365,Makeup,唇部彩妆,IVCN2026082411126,'243591225809,https://detail.1688.com/offer/672404184054.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'24727528365,3.42 ,100%同款,,唇釉
9月化妆品热销常规品- SACE LADY 纹身唇釉哑光柔滑持久不粘腻防水颜料套装,K10+K14,12.21 ,https://cf.shopee.ph/file/cn-11134207-7ras8-mbqb1b3ope6uf7,http://shopee.ph/product/111361174/24727528365,Makeup,唇部彩妆,IVCN2026082411126,'243591225810,https://detail.1688.com/offer/969825128533.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价,2026/8/24,'24727528365,12.21 ,100%同款（LFF）,,唇釉
9月化妆品热销常规品- SACE LADY 纹身唇釉哑光柔滑持久不粘腻防水颜料套装,K16+K16,11.58 ,https://cf.shopee.ph/file/cn-11134207-7ras8-mdmyvyds5y1083,http://shopee.ph/product/111361174/24727528365,Makeup,唇部彩妆,IVCN2026082411126,'275663560962,,爆品竞价,2026/8/24,'24727528365,11.58 ,100%同款（LFF）,,唇釉
9月化妆品热销常规品- SACE LADY 纹身唇釉哑光柔滑持久不粘腻防水颜料套装,K14+K16,12.12 ,https://cf.shopee.ph/file/cn-11134207-7ras8-mbypb2gjqmmu46,http://shopee.ph/product/111361174/24727528365,Makeup,唇部彩妆,IVCN2026082411126,'275663560966,,爆品竞价,2026/8/24,'24727528365,12.12 ,100%同款（LFF）,,唇釉
9月化妆品热销常规品- 眉粉印章染色模板套装 专业化妆品 防水眉印提拉眉毛增强模板套装,Light brown C,5.80 ,https://cf.shopee.ph/file/sg-11134201-7rcf8-ltthw3hmie1yd9,http://shopee.ph/product/279766691/24772769674,Makeup,眼部彩妆,IVCN2026082411132,'88899540879,https://detail.1688.com/offer/787184983817.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价,2026/8/24,'24772769674,5.80 ,相似款（LFF）,,眉笔、眉粉
9月化妆品热销常规品- 眉粉印章染色模板套装 专业化妆品 防水眉印提拉眉毛增强模板套装,Light brown B,5.80 ,https://cf.shopee.ph/file/sg-11134201-7rcf7-ltthw4iszzoj8d,http://shopee.ph/product/279766691/24772769674,Makeup,眼部彩妆,IVCN2026082411132,'89541011412,https://detail.1688.com/offer/787184983817.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价,2026/8/24,'24772769674,5.80 ,相似款（LFF）,,眉笔、眉粉
9月化妆品热销品牌品- 【产品汇总】JUDYDOLL 气垫粉底，适合所有肤质，12.5克/14克,[Hồng] #00 Da Trắng 12.5g,27.47 ,https://cf.shopee.vn/file/cn-11134207-820l4-mp24idbcpeyobd,http://shopee.vn/product/341989119/24776105386,Makeup,面部彩妆,IVCN2026082413903,'371012924232,https://detail.1688.com/offer/899894621323.html?spm=a26352.b28411319/2508.0.0,1688三档价,2026/8/24,'24776105386,27.47 ,100%同款,,粉底
9月化妆品热销品牌品- 【产品汇总】JUDYDOLL 气垫粉底，适合所有肤质，12.5克/14克,[Trắng] N20 Da vàng ấm 14g,27.39 ,https://cf.shopee.vn/file/cn-11134207-820l4-mqr3xme81z4f0a,http://shopee.vn/product/341989119/24776105386,Makeup,面部彩妆,IVCN2026082413903,'109147313625,https://detail.1688.com/offer/899894621323.html?spm=a26352.b28411319/2508.0.0,1688三档价,2026/8/24,'24776105386,27.39 ,100%同款,,粉底
9月化妆品热销品牌品- 【产品汇总】JUDYDOLL 气垫粉底，适合所有肤质，12.5克/14克,[Hồng] #01 Da sáng 12.5g,21.99 ,https://cf.shopee.vn/file/cn-11134207-820l4-mp24ie6765fv72,http://shopee.vn/product/341989119/24776105386,Makeup,面部彩妆,IVCN2026082413903,'371012924233,https://detail.1688.com/offer/899894621323.html?spm=a26352.b28411319/2508.0.0,1688三档价,2026/8/24,'24776105386,21.99 ,100%同款,,粉底
9月化妆品热销品牌品- 【产品汇总】JUDYDOLL 气垫粉底，适合所有肤质，12.5克/14克,[Trắng] N20 Da vàng ấm 14g,27.39 ,https://cf.shopee.vn/file/cn-11134207-820l4-mqr3xme81z4f0a,http://shopee.vn/product/341989119/24776105386,Makeup,面部彩妆,IVCN2026082413903,'109147313625,https://detail.1688.com/offer/899894621323.html?spm=a26352.b28411319/2508.0.0,1688三档价,2026/8/24,'24776105386,27.39 ,100%同款,,粉底
9月化妆品热销品牌品- 【产品汇总】JUDYDOLL 气垫粉底，适合所有肤质，12.5克/14克,[Trà] #N10 Da sáng 14g,29.23 ,https://cf.shopee.vn/file/cn-11134207-820l4-mp1xg809f85d47,http://shopee.vn/product/341989119/24776105386,Makeup,面部彩妆,IVCN2026082413903,'371012924236,https://detail.1688.com/offer/899894621323.html?spm=a26352.b28411319/2508.0.0,1688三档价,2026/8/24,'24776105386,29.23 ,100%同款,,粉底
9月化妆品热销品牌品- 【产品汇总】JUDYDOLL 气垫粉底，适合所有肤质，12.5克/14克,[Trắng] N20 Da vàng ấm 14g,27.39 ,https://cf.shopee.vn/file/cn-11134207-820l4-mqr3xme81z4f0a,http://shopee.vn/product/341989119/24776105386,Makeup,面部彩妆,IVCN2026082413903,'109147313625,https://detail.1688.com/offer/899894621323.html?spm=a26352.b28411319/2508.0.0,1688三档价,2026/8/24,'24776105386,27.39 ,100%同款,,粉底
9月化妆品热销品牌品- Aperire Day Dream Cover Cushion SPF50+/PA++++ 13g - 防晒遮瑕气垫,#Lõi 01 - Da TB Sáng,31.99 ,https://cf.shopee.vn/file/vn-11134207-81ztc-mqa0ux0twl5985,http://shopee.vn/product/628255916/24835818478,Makeup,面部彩妆,IVCN2026082411135,'331161648687,https://detail.1688.com/offer/1034987812292.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf89a7417877407947044297e0bd0&token=PhwZh%2FUT75sqW0bDrc6va8gDd6NqA%2FUjaXha6V%2FYiBz46sYJdf4%2BmO1Giif5rOop,1688三档价,2026/8/24,'24835818478,31.99 ,相似款,,粉底
9月化妆品热销品牌品- Aperire Day Dream Cover Cushion SPF50+/PA++++ 13g - 防晒遮瑕气垫,#Lõi 0.5-Trắng Sáng,32.44 ,https://cf.shopee.vn/file/vn-11134207-81ztc-mqa0v58akefh58,http://shopee.vn/product/628255916/24835818478,Makeup,面部彩妆,IVCN2026082411135,'331161648690,https://detail.1688.com/offer/1034987812292.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf89a7417877407947044297e0bd0&token=PhwZh%2FUT75sqW0bDrc6va8gDd6NqA%2FUjaXha6V%2FYiBz46sYJdf4%2BmO1Giif5rOop,1688三档价,2026/8/24,'24835818478,32.44 ,相似款,,粉底
9月化妆品热销品牌品- Aperire Day Dream Cover Cushion SPF50+/PA++++ 13g - 防晒遮瑕气垫,#Lõi 02 - Tự Nhiên,32.33 ,https://cf.shopee.vn/file/vn-11134207-81ztc-mqa0v01j3qj312,http://shopee.vn/product/628255916/24835818478,Makeup,面部彩妆,IVCN2026082411135,'331161648688,https://detail.1688.com/offer/1034987812292.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bf89a7417877407947044297e0bd0&token=PhwZh%2FUT75sqW0bDrc6va8gDd6NqA%2FUjaXha6V%2FYiBz46sYJdf4%2BmO1Giif5rOop,1688三档价,2026/8/24,'24835818478,32.33 ,相似款,,粉底
9月化妆品热销品牌品- [TIRTIR] 面膜贴合全效气垫粉底液 18g（20 种基础色）- 全效遮瑕，持久妆效，超强控油，哑光妆感,17c - Sứ,12.00 ,https://cf.shopee.vn/file/sg-11134207-7rdwd-m0v8tigsax5a18,http://shopee.vn/product/735116732/24860877473,Makeup,面部彩妆,IVCN2026082413908,'98867225135,https://detail.1688.com/offer/1049881395552.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bab14ad17877407253717625e0dab&token=vgx3tMPyg9aL%2BrR1%2FBd1cHxB%2BBO3lANYBEGnwo06C%2FduqMABwLAiuIcVZngGAKvg,1688三档价,2026/8/24,'24860877473,12.00 ,100%同款,,粉底
9月化妆品热销品牌品- [TIRTIR] 面膜贴合全效气垫粉底液 18g（20 种基础色）- 全效遮瑕，持久妆效，超强控油，哑光妆感,17c - Sứ,12.00 ,https://cf.shopee.vn/file/sg-11134207-7rdwd-m0v8tigsax5a18,http://shopee.vn/product/735116732/24860877473,Makeup,面部彩妆,IVCN2026082413908,'98867225135,https://detail.1688.com/offer/1049881395552.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0bab14ad17877407253717625e0dab&token=vgx3tMPyg9aL%2BrR1%2FBd1cHxB%2BBO3lANYBEGnwo06C%2FduqMABwLAiuIcVZngGAKvg,1688三档价,2026/8/24,'24860877473,12.00 ,100%同款,,粉底
9月化妆品热销品牌品- MISTINE不锈钢睫毛膏 5克,02 Màu nâu,3.00 ,https://cf.shopee.vn/file/cn-11134207-7r98o-ls24romavfl9be,http://shopee.vn/product/813470004/24864757018,Makeup,眼部彩妆,IVCN2026082411139,'250362243893,https://detail.1688.com/offer/821825831445.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价,2026/8/24,'24864757018,3.00 ,100%同款,,睫毛膏
9月化妆品热销常规品- Judydoll 卷翘睫毛膏 2g - 棕色：防水睫毛膏，可卷翘、拉长和根根分明睫毛。,Curling Iron - Đen,18.25 ,https://cf.shopee.vn/file/vn-11134207-81ztc-mpbzb3kll4p969,http://shopee.vn/product/157995825/24882938602,Makeup,眼部彩妆,IVCN2026082411141,'287689944058,https://detail.1688.com/offer/731662445035.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212b9de517877406494573996e0eb9&token=l2yqX8C27fQ18iSRMlGlJPXkZ7b9aV%2BNnfYHdZYtBtPHKnYVil8QT5fomKwA0EkY,1688三档价,2026/8/24,'24882938602,18.25 ,100%同款,,睫毛膏
9月化妆品热销品牌品- [d'Alba 官方] 丰盈润唇膏 5ml,Cánh hoa hồng (Japanver),35.00 ,https://cf.shopee.vn/file/sg-11134207-82634-mldba7af4iytf9,http://shopee.vn/product/562665255/24890465407,Makeup,唇部彩妆,IVCN2026082411143,'259282932918,https://detail.1688.com/offer/1071232643933.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价,2026/8/24,'24890465407,35.00 ,100%同款,,唇彩
9月化妆品热销品牌品- [d'Alba 官方] 丰盈润唇膏 5ml,Posh Rose (Japanver),35.00 ,https://cf.shopee.vn/file/sg-11134207-825an-mqemglyortvz3f,http://shopee.vn/product/562665255/24890465407,Makeup,唇部彩妆,IVCN2026082411143,'259282932919,https://detail.1688.com/offer/1071232643933.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价,2026/8/24,'24890465407,35.00 ,100%同款,,唇彩
9月化妆品热销品牌品- [d'Alba 官方] 丰盈润唇膏 5ml,Feeble Pink (Japanver),35.00 ,https://cf.shopee.vn/file/sg-11134207-8260n-mldb5l5fcemg10,http://shopee.vn/product/562665255/24890465407,Makeup,唇部彩妆,IVCN2026082411143,'259282932917,https://detail.1688.com/offer/1071232643933.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价,2026/8/24,'24890465407,35.00 ,100%同款,,唇彩
9月化妆品热销品牌品- [d'Alba 官方] 丰盈润唇膏 5ml,Ruby Rose (Japanver),8.21 ,https://cf.shopee.vn/file/sg-11134207-8259d-mqemhj89oyz3b8,http://shopee.vn/product/562665255/24890465407,Makeup,唇部彩妆,IVCN2026082411143,'259282932920,https://detail.1688.com/offer/1071232643933.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,1688三档价,2026/8/24,'24890465407,8.21 ,100%同款,,唇彩
9月化妆品热销品牌品- 芭妮兰 (BANILA CO) 净颜卸妆膏 100ml 7种,Clareamento de Poros 100ml,29.63 ,https://cf.shopee.com.br/file/sg-11134207-7rblz-lo7qb1brbhap2a,http://shopee.com.br/product/920292999/24901281950,Makeup,卸妆用品,IVCN2026082411148,'187154474717,https://detail.1688.com/offer/677277249274.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'24901281950,29.63 ,100%同款,,卸妆用品
9月化妆品热销常规品- CARSLAN 黑磁控油黑粉，防水防汗，遮盖面部油光，8克,2.0 Màu trong suốt,15.82 ,https://cf.shopee.vn/file/vn-11134207-820l4-mk0vg0458u803e,http://shopee.vn/product/1382974605/24937556184,Makeup,面部彩妆,IVCN2026082411150,'365497545541,,爆品竞价,2026/8/24,'24937556184,15.82 ,相似款,,蜜粉
9月化妆品热销常规品- CARSLAN 黑磁控油黑粉，防水防汗，遮盖面部油光，8克,2.0 Mát lạnh-Tím,18.60 ,https://cf.shopee.vn/file/vn-11134207-820l4-mk0vgzlex34594,http://shopee.vn/product/1382974605/24937556184,Makeup,面部彩妆,IVCN2026082411150,'365497545547,,爆品竞价,2026/8/24,'24937556184,18.60 ,相似款,,蜜粉
9月化妆品热销常规品- 来自泰国的Sivanna Colors超细控油定妆粉。,Tông sáng 01,8.00 ,https://cf.shopee.vn/file/vn-11134207-7ra0g-m8d27fbrfvce43,http://shopee.vn/product/84199881/24943781723,Makeup,面部彩妆,IVCN2026082411153,'253123944089,,爆品竞价,2026/8/24,'24943781723,8.00 ,相似款,,蜜粉
9月化妆品热销品牌品- FOCALLURE 9.6克眼影盘：高显色度、保湿、防晕染、持久、防水。,#BR05 🌹,20.69 ,https://cf.shopee.vn/file/cn-11134207-820l4-mmsqp0gscj60e5,http://shopee.vn/product/182631756/24958322926,Makeup,眼部彩妆,IVCN2026082411155,'380745808307,https://detail.1688.com/offer/1030758985450.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'24958322926,20.69 ,100%同款,,眼影
9月化妆品热销品牌品- 悦诗风吟 (INNISFREE) 两件套 悦诗风吟控油矿物散粉 5克,INNISFREE x Bộ 2 Phấn phủ kiềm dầu dạng bột innisfree No Sebum Mineral Powder 5g,14.91 ,https://cf.shopee.vn/file/vn-11134207-81ztc-mrcenjqoabd08d,http://shopee.vn/product/155343961/24969991287,Makeup,面部彩妆,IVCN2026082411157,'207385078269,https://detail.1688.com/offer/917683727660.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'24969991287,14.91 ,100%同款,,蜜粉
9月化妆品热销常规品- K-PALETTE 持久眉液,01 Natural Brown,0.73 ,https://cf.shopee.sg/file/ph-11134207-7ra0t-mclrjcq7u6b9ad,http://shopee.sg/product/1225081209/24974457061,Makeup,眼部彩妆,IVCN2026082411159,'300890766868,https://detail.1688.com/offer/661198194459.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.sg&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'24974457061,0.73 ,相似款,,眉笔、眉粉
9月化妆品热销品牌品- 【TFIT官方】遮瑕膏 - 遮盖黑眼圈和痘疤，15克,04 Dark,5.00 ,https://cf.shopee.vn/file/sg-11134207-7repk-m1xvvplqnpum17,http://shopee.vn/product/1224696340/25022396909,Makeup,面部彩妆,IVCN2026082413910,'250583380444,https://detail.1688.com/offer/842235242043.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'25022396909,5.00 ,100%同款,,遮瑕
9月化妆品热销品牌品- 【TFIT官方】遮瑕膏 - 遮盖黑眼圈和痘疤，15克,04 Dark,5.00 ,https://cf.shopee.vn/file/sg-11134207-7repk-m1xvvplqnpum17,http://shopee.vn/product/1224696340/25022396909,Makeup,面部彩妆,IVCN2026082413910,'250583380444,https://detail.1688.com/offer/842235242043.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,1688三档价,2026/8/24,'25022396909,5.00 ,100%同款,,遮瑕
9月化妆品热销品牌品- MISTINE 全效遮瑕粉底液 30克 – 完美遮瑕，持久妆效，柔滑妆感 – 适合混合性肌肤,Xanh lam 5.0-LF110,19.75 ,https://cf.shopee.vn/file/cn-11134207-820l4-mivlcdvt5qtd6b,http://shopee.vn/product/813470004/25041509222,Makeup,面部彩妆,IVCN2026082411161,'257655993741,https://detail.1688.com/offer/899183573220.html?spm=a26352.b28411319.offerlist.5.36e61e62Y0Ccz7,1688三档价,2026/8/24,'25041509222,19.75 ,100%同款（Top）,,粉底
